line,avg_speed,min_speed,max_speed,count
51,33.82,33.82,33.82,1
39,30.372000000000003,7.83,53.59,5
78,29.73,29.73,29.73,1
27,25.725,25.28,26.17,2
62,22.924444444444443,6.76,42.37,9
44,22.892000000000003,16.02,30.26,5
52,20.236666666666665,12.11,27.77,3
21,19.996666666666666,7.12,28.66,6
50,19.94,3.74,43.08,3
65,19.175714285714285,9.61,27.06,7
12,18.737499999999997,8.19,31.51,4
82,18.41142857142857,6.05,29.55,7
34,18.025,6.05,24.57,4
64,17.89,16.2,19.58,2
28,17.302,7.48,26.88,5
7,16.767272727272726,0.89,37.74,11
53,16.349999999999998,4.63,27.24,6
86,16.166000000000004,11.22,26.35,5
29,16.047142857142855,0.36,30.44,7
56,15.702000000000002,4.81,23.5,5
45,15.523999999999997,1.07,29.2,5
93,14.835,3.2,25.46,6
80,14.675714285714283,7.83,24.75,7
19,14.003333333333332,0.36,21.36,3
20,13.784285714285716,7.83,23.86,7
9,13.53,1.6,31.15,7
54,13.44,3.56,22.43,4
47,13.355,0.36,29.2,4
88,13.333333333333334,0.36,28.31,9
48,13.261666666666665,1.25,24.92,6
17,13.0,13.0,13.0,1
49,12.674,1.6,25.28,5
13,12.6375,3.03,21.18,4
79,12.534,0.36,25.28,5
61,12.192499999999999,0.53,27.77,4
63,10.86,7.48,14.24,2
69,10.796666666666667,6.76,18.51,3
87,10.78111111111111,0.36,25.46,9
55,10.28125,1.96,22.61,8
71,9.717142857142857,0.18,25.64,7
60,9.435,3.74,16.38,6
74,9.26,3.74,15.67,5
4,9.176666666666668,2.49,27.95,9
59,8.436,3.38,17.62,5
76,7.48,7.48,7.48,1
38,7.418333333333334,3.92,13.17,6
66,6.59,6.59,6.59,2
58,5.905,0.36,9.08,6
73,4.45,4.45,4.45,1
77,1.42,1.42,1.42,1
5,0.18,0.18,0.18,4
2,0.18,0.18,0.18,2
6,0.18,0.18,0.18,4
1,0.18,0.18,0.18,1
