counter_id,hour_count,day_count,year_count,timestamp
CB1101,350,2977,1966502,2025/10/28 17:04:03
CB02411,124,2074,1000158,2025/10/28 17:04:03
COM205,61,494,390820,2025/10/28 17:04:03
CSG301,42,209,178673,2022/07/04 08:45:00
CJM90,42,3115,1572562,2025/10/28 17:04:03
CB1142,35,3495,1576955,2025/10/28 17:04:03
SEV011,27,118,4108,2020/07/31 09:46:00
CAT17,17,1006,596083,2025/10/28 17:04:03
CEK31,14,1219,677897,2025/10/28 17:04:03
CEK049,11,1218,716580,2025/10/28 17:04:03
CEE016,10,918,522248,2025/10/28 17:04:03
SJE181,8,163,69016,2020/10/20 16:24:00
CB2105,6,1402,816527,2025/10/28 17:04:03
CB1699,6,528,320820,2025/10/28 17:04:03
CVT387,4,331,173321,2025/10/28 17:04:03
CJE181,3,201,109284,2025/10/28 17:04:03
CB1599,3,588,344318,2025/10/28 17:04:03
CEK18,2,965,469784,2025/10/28 17:04:03
CLW239,2,299,186603,2025/10/28 17:04:03
CEV011,1,222,227170,2025/10/28 17:04:03
CKG017,0,9,33446,2021/10/06 08:06:00
CB1143,0,0,123740,2025/09/26 07:50:02
