pointId,lineId,directionId,speed
8151,1,8731,0.18
6805,19,473,7.62
5088,19,473,13.65
6869,19,5086,19.49
4958,19,5086,18.08
4213,20,1194,18.08
1095,20,1900,9.75
2072,20,1194,4.61
1096,20,1900,22.51
1198,20,1194,32.08
3280,21,3201,39.17
3911,21,1262,15.24
3466,21,1262,24.63
2430,27,2429,10.81
1134,27,2429,27.65
4367,38,1000,17.19
3503,38,4075,5.32
3122,38,4075,4.25
1915,38,4075,33.14
1776,38,1000,7.09
1983,38,1000,0.35
2788,38,4075,6.73
9851,42,1385,58.13
1595,43,4076,44.31
1938,43,2109,60.08
2165,43,2109,37.39
2168,43,4076,40.05
9577,44,89,44.84
5657,44,89,40.41
2370,46,1201,2.13
3368,46,1201,43.07
2216,46,1201,11.17
1894,46,2403,31.37
3377,46,3717,9.57
2217,46,1201,11.34
6650,51,9863,7.44
5090,51,1289,9.04
2965,54,1780,1.06
7527,54,1780,1.6
1702,54,1742,2.66
3117,60,2701,21.8
1986,60,1425,29.77
1738,60,1425,30.48
1949,60,2701,6.56
9296,61,1900,12.58
1904,61,2289,25.17
3308,62,9051,13.65
2343,62,3337,13.65
5090,62,9051,13.65
2635,62,9051,15.77
6171,62,9051,13.11
2242,62,3337,11.34
6444,63,3401,1.77
3218,63,6442,21.62
1402,63,3401,10.28
3354,63,3401,1.06
2345,66,3288,1.06
3417,66,6442,15.77
6418,66,3288,2.66
3273,66,3288,14.18
3106,69,5740,10.46
5045,69,9311,30.48
3103,69,5740,20.03
3853,73,2382,16.48
3859,73,1662,8.33
2601,74,3415,5.49
2620,74,3074,28.18
2546,74,3074,8.15
2631,74,3415,28.0
1452,74,3074,18.79
1478,75,1486,34.74
1621,75,1951,36.15
1495,75,1486,7.44
1260,75,1486,19.85
1489,75,1951,17.01
5953,75,1486,14.89
1491,76,1629,16.66
5172,9,5169,28.89
1094,9,1695,24.1
0472,9,5169,5.85
1689,9,1695,36.69
1675,9,1695,7.09
1684,9,5169,7.09
6416,92,3431,21.8
5032,92,6934,34.91
5027,92,6934,32.61
1726,95,4318,16.3
1441,95,4318,19.67
1218,95,1781,34.56
4357,95,1781,21.98
4303,95,4318,39.52
1128,95,4318,7.8
4952,95,4318,11.34
4367,95,1781,6.38
6158,96,3243,23.04
1730,96,3152,31.9
2481,96,3243,23.57
2318,10,9959,1.06
2337,10,5800,59.37
2343,10,9959,26.76
5785,10,9959,19.67
5781,10,9959,8.51
0516,10,5800,10.28
0725,10,5800,88.08
0626,10,5800,6.56
6209,10,5800,42.0
0621,10,9959,29.77
5798,10,5800,3.9
0531,10,9959,37.04
2247,12,9600,26.76
5044,12,9600,37.04
5048,12,1780,8.51
6464,12,9600,12.76
2250,12,1780,17.55
1024,14,1900,11.7
1755,14,1727,1.24
1732,14,1900,7.8
2586,14,1900,13.82
2498,14,1727,39.52
3245,14,1727,10.63
4310,17,4340,6.73
8332,2,8472,0.18
8462,2,8472,0.18
1385,29,9998,15.06
3358,29,2595,23.93
1379,29,1528,8.51
1508,29,1528,21.27
1512,29,1528,12.76
1820,29,1528,7.98
5759,35,5776,37.75
5806,35,5776,55.47
5715,35,5758,36.86
1873,36,2719,1.24
1807,36,1830,29.77
1825,36,1830,7.27
1859,36,2719,22.86
2719,36,1830,4.96
1834,36,1830,44.31
5502,39,5520,36.15
6474,39,5520,22.69
5281,39,5520,35.8
5559,39,89,6.73
2775,48,2733,23.39
2774,48,2306,32.08
1781,48,2733,7.98
2457,48,2733,22.15
5159,50,3211,20.2
9685,50,3211,0.53
2611,50,9658,8.33
1411,50,9658,18.25
2671,50,3211,13.11
2546,50,9658,25.52
1168,52,1015,20.91
2734,52,1015,12.76
1127,52,1000,11.7
2856,53,1261,1.6
1775,53,1261,19.32
3638,53,1261,32.43
4131,53,1261,11.34
2564,53,1038,39.7
2766,53,1261,28.53
2819,53,3295,28.18
2512,53,1261,15.6
1767,53,3295,20.2
1576,58,3244,5.32
2088,58,9751,9.57
5741,58,3244,3.54
9776,58,9751,36.86
5760,58,9751,46.97
5761,58,3244,3.01
6082,64,3134,21.8
2995,64,3134,2.13
2924,64,4952,0.89
2910,64,4952,18.43
2987,65,6442,21.27
3304,65,6442,25.88
6369,65,6442,4.61
2173,65,6442,23.75
5261,7,5320,28.36
5300,7,9969,0.18
2246,7,9969,9.22
5205,7,9969,42.36
5354,7,5320,0.18
2635,7,9051,7.62
5704,7,5758,34.03
0806,7,5320,54.41
5306,7,9969,4.79
2424,77,7501,9.57
1387,77,1638,41.47
3905,79,6465,20.38
3962,79,1339,5.67
3080,79,6465,10.99
1043,79,1339,31.01
2043,79,6465,19.14
2899,80,4952,22.51
3898,80,4952,11.17
1113,80,4952,2.66
3160,80,4952,3.9
5362,80,4952,28.53
6113,81,2284,64.69
3532,81,2284,7.8
2218,81,3610,9.92
6858,81,2331,30.48
6705,81,2331,15.77
0636,81,3610,28.18
6155,81,9952,12.94
3226,82,4263,23.57
3230,82,4263,0.89
2671,82,4263,0.89
4003,82,9913,8.68
1308,82,9913,26.05
4054,82,4263,5.85
3253,82,9913,7.8
1671,86,3234,1.77
2305,86,2558,9.04
2370,86,3234,12.41
3231,86,3234,26.94
6755,86,2558,10.28
3257,86,2558,17.19
3282,86,2558,0.53
4162,87,4014,18.96
4116,87,1112,5.14
1196,87,1112,9.75
4062,87,1112,3.54
4066,87,1112,9.92
4160,87,4014,26.41
2547,88,2070,7.98
1293,88,2070,7.8
2090,88,1727,1.24
2850,88,1727,12.76
1334,88,2070,43.07
4266,88,1727,15.6
3482,88,2070,18.61
2863,88,1727,32.26
5469,93,9990,21.09
5092,93,5474,19.85
6122,93,3431,20.38
1046,93,9990,6.73
2879,93,5474,20.03
1180,13,1727,18.43
4116,13,4111,10.81
1747,13,4111,7.98
1721,13,1727,9.57
5860,18,712,38.46
1926,18,1110,19.49
5836,18,712,18.79
5468,25,539,48.74
6201,25,6487,24.28
0821,25,6487,67.52
0826,25,539,8.15
5459,25,539,51.75
1410,28,1830,9.92
6021,28,1830,1.06
1406,28,1830,3.37
6056,28,2919,4.43
1460,28,2919,18.43
1449,28,2919,21.8
1441,33,2177,6.2
2177,33,3221,9.57
2009,34,4952,11.87
1762,34,4367,20.2
1715,34,9978,6.38
1716,34,2728,18.25
1728,34,2728,0.18
0705,4,4507,18.43
0601,4,4507,54.23
5060,4,9962,19.32
5920,4,4507,0.89
0726,4,9962,1.95
0722,4,9962,9.57
0511,4,4507,37.93
4310,41,1725,9.92
6469,41,1725,31.37
3402,45,9292,25.52
3461,45,1385,21.8
2910,45,1385,10.28
1577,47,9784,5.32
1473,47,9784,52.1
1060,47,7932,2.13
1041,47,9784,17.9
6484,49,2531,18.43
2546,49,1288,18.79
2513,49,2531,21.44
1288,49,2531,1.95
2252,49,1288,18.25
2786,55,5868,17.37
2876,55,529,8.86
5714,55,529,13.65
0521,55,529,21.62
5867,55,5868,5.14
5802,55,529,12.58
5805,55,529,0.53
2898,56,2378,13.11
5740,56,6465,27.12
1226,56,6465,42.18
3372,59,3125,21.44
2910,59,3130,2.13
3098,59,3125,3.19
3111,59,3125,6.73
3125,59,3130,9.75
6465,59,3125,26.41
3922,59,3130,13.65
8411,6,8834,0.18
2948,71,2596,13.11
6444,71,3520,4.79
2964,71,2596,7.8
1665,78,1662,14.0
5405,8,5229,46.26
5467,8,9990,42.89
4268,83,2822,4.96
2855,83,2845,37.93
9103,83,2822,23.93
2746,83,2845,11.7
1257,89,1261,36.86
2779,89,1261,12.41
3259,89,1005,50.33
2754,89,1005,4.79
2781,89,1261,24.46
